,inputs,preds,golds
276,modern2poem: 年 年 战 死 的 尸 骨 埋 葬 于 荒 野 ， 换 来 的 只 是 西 域 葡 萄 送 汉 家 。,"generated:年 战 死 骨 葬 荒, 改 其 西 域 葡 �� 作 汉 。","年 年 战 骨 埋 荒 外 ， 空 见 蒲 桃 入 汉 家 。
"
277,modern2poem: 我 在 南 陵 嫌 送 信 人 来 得 太 迟 。,generated:南 陵 嫌 信 人 来 太 迟,"南 陵 寓 使 迟 。
"
278,modern2poem: 青 枫 树 叶 已 变 红 秋 霜 已 下 降 。,generated:青 枫 树 叶 已 变 红 秋 霜 已 降 。,"青 枫 叶 赤 天 雨 霜 。
"
279,modern2poem: 轮 台 城 头 夜 里 吹 起 号 角 ， 轮 台 城 北 旄 头 星 正 降 落 。,"generated:轮台 城 头 吹 号, 轮台 城 北 旄 头 星 正 降 。","轮 台 城 头 夜 吹 角 ， 轮 台 城 北 旄 头 落 。
"
280,modern2poem: 意 中 之 人 在 何 处 ？ 就 在 河 水 那 一 方 。,generated:人 何 河 水 一 方 。,"所 谓 伊 人 ， 在 水 一 方 。
"
281,modern2poem: 要 问 池 塘 里 的 水 为 何 这 样 清 澈 呢 ？,generated:水 何 清?,"问 渠 那 得 清 如 许 ？
"
282,modern2poem: 蓬 莱 宫 中 的 孤 寂 时 间 还 很 漫 长 。,"generated:蓬 莱 宫 孤 时, 漫 长 。","蓬 莱 宫 中 日 月 长 。
"
283,modern2poem: 月 色 如 霜 所 以 霜 飞 无 从 觉 察 ， 洲 上 的 白 沙 和 月 色 融 合 在 一 起 看 不 分 明 。,"generated:月 如 霜 以 霜 无 觉, 洲 。","空 里 流 霜 不 觉 飞 ， 汀 上 白 沙 看 不 见 。
"
284,modern2poem: 放 牛 的 孩 子 横 坐 在 牛 背 上 ，,generated:放牛 子 横 坐 牛 背 。,"牧 童 归 去 横 牛 背 ，
"
285,modern2poem: 王 羲 之 书 法 时 俗 趁 机 显 秀 媚 ，,generated:王羲之书 法 时 俗 趁 机 显 媚 。,"羲 之 俗 书 趁 姿 媚 ，
"
286,modern2poem: 邓 攸 没 有 后 代 是 命 运 的 安 排 ， 潘 岳 悼 念 亡 妻 只 是 徒 然 悲 鸣 。,"generated:没 有 后 是 命 运 安, 潘 悼 亡 妻 只 是 徒 然 悲 。","邓 攸 无 子 寻 知 命 ， 潘 岳 悼 亡 犹 费 词 。
"
287,modern2poem: 世 人 只 晓 听 曲 不 懂 得 欣 赏 ，,generated:世 人 只 听 曲 不 知 赏 。,"世 人 解 听 不 解 赏 ，
"
288,modern2poem: 一 个 小 孩 撑 着 小 船 ， 偷 偷 地 采 了 白 莲 回 来 。,generated:一 小 小 船 偷 白 莲 来 。,"小 娃 撑 小 艇 ， 偷 采 白 莲 回 。
"
289,modern2poem: 如 今 回 来 路 途 中 ，,generated:如今 来 路 途 。,"今 我 来 思 ，
"
290,modern2poem: 这 清 幽 境 地 很 合 我 的 雅 兴 ，,generated:清 幽 地 合 我 。,"及 兹 契 幽 绝 ，
"
291,modern2poem: 葛 草 长 得 长 又 长 ，,generated:草 长 又 长 。,"葛 之 覃 兮 ，
"
292,modern2poem: 可 悲 遭 遇 千 万 代 令 人 伤 情 。,generated:悲 遇 千 万 代 令 人 伤 情 。,"万 古 惟 留 楚 客 悲 。
"
293,modern2poem: 狂 风 卷 走 了 我 屋 顶 上 好 几 层 茅 草 。,generated:狂风 风 走 屋 上 好 茅 草 。,"卷 我 屋 上 三 重 茅 。
"
294,modern2poem: 所 有 的 山 ， 飞 鸟 全 都 断 绝 ； 所 有 的 路 ， 不 见 人 影 踪 迹 。,"generated:所有之山 鸟 全 断 所有之路, 不 见 人 影 迹 。","千 山 鸟 飞 绝 ， 万 径 人 踪 灭 。
"
295,modern2poem: 只 恨 春 宵 太 短 一 觉 就 睡 到 太 阳 高 高 升 起 ， 君 王 从 此 再 也 不 早 朝 了 。,"generated:只恨 春 宵 太 一 睡 太 高, 君 王 从 此 再 也 不 早 。","春 宵 苦 短 日 高 起 ， 从 此 君 王 不 早 朝 。
"
296,modern2poem: 无 边 无 际 的 风 光 焕 然 一 新 。,generated:无 边 无 际 风 光 一 新 。,"无 边 光 景 一 时 新 。
"
297,modern2poem: 也 不 及 汪 伦 送 别 我 的 一 片 情 深 。,generated:不 汪 伦 送 别 我 一 情 深 。,"不 及 汪 伦 送 我 情 。
"
298,modern2poem: 从 不 将 安 和 危 放 在 心 里 。,generated:不 将安 和 危 放 心 。,"性 命 安 可 怀 ？
"
299,modern2poem: 旧 时 恩 爱 难 忘 国 家 开 始 振 兴 。,generated:旧 恩 爱 难 国 家 开 兴 。,"云 雨 难 忘 日 月 新 。
"
300,modern2poem: 君 王 思 念 贵 妃 的 情 意 令 他 感 动 ，,generated:君 王 思 贵 妃 情 令 其 动 。,"为 感 君 王 辗 转 思 ，
"
301,modern2poem: 漫 漫 长 夜 中 泛 流 着 琴 瑟 的 清 音 ； 青 萝 轻 拂 好 象 有 西 风 飕 飕 而 生 。,generated:漫 漫 夜 泛 琴 瑟 清 明 有 西 风 嗖 生 。,"遥 夜 泛 清 瑟 ， 西 风 生 翠 萝 。
"
302,modern2poem: 古 台 破 败 草 木 已 经 凋 落 ， 秋 天 景 色 引 起 我 的 乡 思 。,"generated:古 台 破 木 已, 秋 景 引 我 的 乡 思 。","古 台 摇 落 后 ， 秋 日 望 乡 心 。
"
303,modern2poem: 我 在 南 山 下 种 植 豆 子 ， 地 里 野 草 茂 盛 豆 苗 豌 稀 。,"generated:南 山 下 种 豆, 地 野 草 盛 豆 苗 稀 。","种 豆 南 山 下 ， 草 盛 豆 苗 稀 。
"
304,modern2poem: 高 高 的 山 顶 上 有 一 座 茅 屋 ， 从 山 下 走 上 去 足 有 三 十 里 。,"generated:高 高 山 上 茅, 从 山 去 足 三 十 里 。","绝 顶 一 茅 茨 ， 直 上 三 十 里 。
"
305,modern2poem: 你 说 因 为 生 活 不 得 意 ， 回 乡 隐 居 在 终 南 山 旁 。,generated:因 生 生 不 意 归 终 山 旁 。,"君 言 不 得 意 ， 归 卧 南 山 陲 。
"
306,modern2poem: 诸 生 就 能 钻 研 解 说 一 起 切 蹉 。,generated:生 能 研 解 一 切 蹉 。,"诸 生 讲 解 得 切 磋 。
"
307,modern2poem: 潮 气 与 毒 气 相 杂 到 处 腥 臊 。,generated:潮 气 相 至 味 。,"海 气 湿 蛰 熏 腥 臊 。
"
308,modern2poem: 世 事 何 等 地 纷 繁 渺 茫 ， 不 如 做 一 名 隐 居 的 钓 叟 。,generated:世 何 何 何 何 何 何 何 何 作 一 隐 。,"生 事 且 弥 漫 ， 愿 为 持 竿 叟 。
"
309,modern2poem: 我 在 年 少 时 离 开 家 乡 ， 到 了 迟 暮 之 年 才 回 来 。,generated:年少时 离 乡 迟 暮 来 。,"少 小 离 家 老 大 回 ，
"
310,modern2poem: 时 届 暮 春 白 雪 飘 飞 归 来 塞 外 ， 万 里 奔 波 渡 过 黄 河 绕 过 黑 山 。,"generated:暮 春 白 飞 归, 万 里 奔, 河 绕, 黒 山 。","三 春 白 雪 归 青 冢 ， 万 里 黄 河 绕 黑 山 。
"
311,modern2poem: 阳 光 下 鹿 群 呦 呦 欢 鸣 ，,"generated:阳 光 下 鹿 群 呦 欢,","呦 呦 鹿 鸣 ，
"
312,modern2poem: 手 持 杯 蛟 教 导 我 掷 占 方 法 ，,generated:手 持 杯 蛟 教 我 投 占 法 。,"手 持 杯 珓 导 我 掷 ，
"
313,modern2poem: 长 乐 宫 与 后 花 园 正 是 春 意 盎 然 ，,generated:长 宫 后 花 正 春 意 盎 然 。,"长 乐 宫 连 上 苑 春 ，
"
314,modern2poem: 秋 水 胜 涨 ， 几 乎 与 岸 平 ， 水 天 含 混 迷 茫 与 天 空 浑 然 一 体 。,"generated:秋 水 胜, 几 岸, 水 天 含 混 迷 空 然 一 体 。","八 月 湖 水 平 ， 涵 虚 混 太 清 。
"
315,modern2poem: 再 请 君 来 这 里 观 赏 菊 花 。,generated:再请君来 此 观 菊 花 。,"还 来 就 菊 花 。
"
316,modern2poem: 柳 荫 下 的 人 们 等 待 着 船 靠 岸 。,generated:柳 荫 人 等 船 靠 岸 。,"柳 边 人 歇 待 船 归 。
"
317,modern2poem: 纵 然 到 了 四 十 岁 还 要 到 西 部 边 疆 去 屯 田 。,generated:纵 然 四 十 还 到 西 边 去 屯 田 。,"便 至 四 十 西 营 田 。
"
318,modern2poem: 两 只 黄 鹂 在 翠 绿 的 柳 树 间 婉 转 地 歌 唱 ，,"generated:两只 黄 鹂 在 翠 绿 树 婉,","两 个 黄 鹂 鸣 翠 柳 ，
"
319,modern2poem: 在 我 东 晋 鼎 盛 日 ， 长 沙 郡 公 业 辉 煌 。,"generated:在 东 晋 鼎 盛 日, 长 沙 郡 公 辉 煌 。","在 我 中 晋 ， 业 融 长 沙 。
"
320,modern2poem: 苍 劲 钩 连 像 金 绳 铁 索 穿 锁 钮 ，,generated:苍 劲 连 像 金 绳 铁 穿 钮 。,"金 绳 铁 索 锁 钮 壮 ，
"
321,modern2poem: 仪 容 举 止 都 要 符 合 潮 流 。,generated:仪 容 终 都 要 符 潮 。,"容 止 顺 其 猷 。
"
322,modern2poem: 冒 着 严 寒 独 自 盛 开 。,generated:严 寒 独 开 。,"凌 寒 独 自 开 。
"
323,modern2poem: 想 在 山 中 找 个 人 家 去 投 宿 ，,generated:想在山中找人 住 在 山 。,"欲 投 人 处 宿 ，
"
324,modern2poem: 王 昭 君 生 长 的 乡 村 至 今 留 存 。,generated:王昭 君 生 长 村 留 存 。,"生 长 明 妃 尚 有 村 。
"
325,modern2poem: 我 的 头 发 刚 刚 盖 过 额 头 ，,"generated:头 发 盖 头,","妾 发 初 覆 额 ，
"
326,modern2poem: 唐 明 皇 爱 好 女 色 一 直 在 寻 找 绝 色 美 女 ，,generated:明 皇 爱 女 色 一 直 在 寻 绝 美 女 。,"汉 皇 重 色 思 倾 国 ，
"
327,modern2poem: 万 里 奔 波 渡 过 黄 河 绕 过 黑 山 。,generated:万里 奔 波 渡 黄 河 绕 黑 山 。,"万 里 黄 河 绕 黑 山 。
"
328,modern2poem: 长 信 宫 中 惟 有 秋 月 尚 明 ，,generated:长信 宫 惟 有 秋 月 明 。,"长 信 宫 中 秋 月 明 ，
"
329,modern2poem: 哀 鸣 的 胡 雁 夜 夜 从 空 中 飞 过 ， 胡 人 士 兵 个 个 眼 泪 双 双 滴 落 。,generated:哀 鸣 雁 夜 从 空 过 人 士 一 眼 泪 双 滴 。,"胡 雁 哀 鸣 夜 夜 飞 ， 胡 儿 眼 泪 双 双 落 。
"
330,modern2poem: 在 东 篱 之 下 采 摘 菊 花 ， 悠 然 间 ， 那 远 处 的 南 山 映 入 眼 帘 。,generated:采 摘 菊 花 悠 然 南 山 映 眼 帘 。,"采 菊 东 篱 下 ， 悠 然 见 南 山 。
"
331,modern2poem: 何 必 去 寻 找 世 外 的 仙 境 ， 人 世 间 就 有 美 好 的 桃 源 。,"generated:何 必 去 寻 世 外, 人 世 有 美 好 桃 源 。","何 用 别 寻 方 外 去 ， 人 间 亦 自 有 丹 丘 。
"
332,modern2poem: 相 伴 到 田 里 送 饭 食 ，,generated:相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相,"相 随 饷 田 去 ，
"
333,modern2poem: 真 可 怜 呵 那 无 定 河 边 成 堆 的 白 骨 ，,generated:真 可 怜 那 无 河 边 成 白 骨 。,"可 怜 无 定 河 边 骨 ，
"
334,modern2poem: 她 弹 熟 了 琵 琶 能 歌 善 舞 。,generated:熟 琵 能 歌 善 舞 。,"惯 弹 琵 琶 解 歌 舞 。
"
335,modern2poem: 夜 静 更 深 ， 月 光 只 照 亮 了 人 家 房 屋 的 一 半 ， 另 一 半 隐 藏 在 黑 夜 里 。,"generated:夜 深 月 光 照 人 房 房, 暗 夜 。","更 深 月 色 半 人 家 ，
"
336,modern2poem: 士 兵 们 也 靠 它 隐 蔽 遮 挡 。,"generated:士 兵 也 以 其 隐, 。","小 人 所 腓 。
"
337,modern2poem: 泪 水 湿 透 了 罗 巾 无 法 入 睡 好 梦 难 成 ， 深 夜 时 分 听 到 前 殿 传 来 按 着 节 拍 唱 歌 的 声 音 。,"generated:泪 水 湿 罗 纱 无 入 梦 难, 夜 分 传 来 按 节 唱 歌 声 。","泪 湿 罗 巾 梦 不 成 ， 夜 深 前 殿 按 歌 声 。
"
338,modern2poem: 经 过 了 近 十 年 的 战 乱 流 离 ，,"generated:经 近 十 年 战 乱,","十 年 离 乱 后 ，
"
339,modern2poem: 秋 天 到 了 却 尚 未 见 它 开 放 。,generated:秋 天 既 尚 其 开 。,"秋 来 未 著 花 。
"
340,modern2poem: 说 回 家 了 回 家 了 ， 但 已 到 了 年 末 仍 不 能 实 现 。,generated:回家 回家 但 已 年 终 不 实 。,"曰 归 曰 归 ， 岁 亦 莫 止 。
"
341,modern2poem: 轻 悠 悠 的 波 光 涟 漪 荡 入 窗 户 。,generated:轻 悠 波 光 涟 荡 窗 。,"演 漾 在 窗 户 。
"
342,modern2poem: 两 岸 风 吹 树 动 枝 叶 沙 沙 作 响 ，,generated:岸 风 树 动 枝 叶 沙 作 。,"风 鸣 两 岸 叶 ，
"
343,modern2poem: 虢 国 夫 人 受 到 皇 上 的 宠 恩 ， 大 清 早 就 骑 马 进 入 了 宫 门 。,"generated:虢 国 夫 人 受 皇, 大 清 早 骑 入 宫 。","虢 国 夫 人 承 主 恩 ， 平 明 骑 马 入 宫 门 。
"
344,modern2poem: 青 黑 色 朝 天 耸 立 足 有 二 千 尺 。,generated:青 黑 天 耸 足 二 千 尺 。,"黛 色 参 天 二 千 尺 。
"
345,modern2poem: 一 连 喝 干 十 几 杯 还 没 有 醉 意 ，,generated:一 饮 十 几 酒 没 醉 。,"十 觞 亦 不 醉 ，
"
346,modern2poem: 乌 云 上 涌 ， 就 如 墨 汁 泼 下 ， 却 又 在 天 边 露 出 一 段 山 峦 ， 明 丽 清 新 ， 大 雨 激 起 的 水 花 如 白 珠 碎 石 ， 飞 溅 入 船 。,"generated:云 涌 如 墨 汁, 又 在 天 露 一 山 峦 明 清 大 雨 花 如 白 珠, 飞 船 。","黑 云 翻 墨 未 遮 山 ， 白 雨 跳 珠 乱 入 船 。
"
347,modern2poem: 黄 昏 里 吹 来 萧 瑟 凉 风 ， 听 晚 蝉 声 声 愁 绪 更 添 。,generated:昏 来 萧 瑟 凉 晚 蝉 声 愁 更 添 。,"日 夕 凉 风 至 ， 闻 蝉 但 益 悲 。
"
348,modern2poem: 意 中 之 人 在 何 处 ？,generated:人 在 何?,"所 谓 伊 人 ，
"
349,modern2poem: 寄 给 在 浮 梁 的 大 哥 、 在 於 潜 的 七 哥 ，,"generated:寄 浮 梁 七,","寄 上 浮 梁 大 兄 、 於 潜 七 兄 、 乌 江 十 五 兄 ，
"
350,modern2poem: 在 乌 江 的 十 五 哥 和 在 符 离 、 下 邽 的 弟 弟 妹 妹 们 看 。,"generated:十 五 哥 在 符 离, 下 肽 看 。","兼 示 符 离 及 下 邽 弟 妹 。
"
351,modern2poem: 我 的 家 临 近 九 江 边 ， 来 来 往 往 都 在 九 江 附 近 。,generated:我家 临 河 边 都 在 九 江 附 。,"家 临 九 江 水 ， 来 去 九 江 侧 。
"
352,modern2poem: 当 年 象 后 羿 飞 箭 射 雀 无 目 ， 如 今 不 操 弓 疡 瘤 生 于 左 肘 。,generated:年 象 后 羿 飞 箭 雀 无 操 弓 生 左 肘,"昔 时 飞 箭 无 全 目 ， 今 日 垂 杨 生 左 肘 。
"
353,modern2poem: 一 车 的 炭 ， 一 千 多 斤 ， 太 监 差 役 们 硬 是 要 赶 着 走 ， 老 翁 是 百 般 不 舍 ， 但 又 无 可 奈 何 。,"generated:一车 一千 太 监 难 以, 老 翁 是 百 般 不, 何 。","一 车 炭 ， 千 余 斤 ， 宫 使 驱 将 惜 不 得 。
"
354,modern2poem: 井 畔 梧 桐 在 秋 夜 的 风 中 抖 动 ， 只 有 蜡 烛 残 光 照 着 孤 单 的 我 。,"generated:井 梧 桐 在 秋 夜, 以 蜡 烛, 孤 单 。","清 秋 幕 府 井 梧 寒 ， 独 宿 江 城 蜡 炬 残 。
"
355,modern2poem: 柏 树 高 耸 云 雾 飘 来 气 接 巫 峡 ，,generated:树 高 云 雾 飘 气 巫 峡 。,"云 来 气 接 巫 峡 长 ，
"
356,modern2poem: 因 为 看 到 月 亮 而 有 所 感 触 ，,generated:以 以 以 以 以 以 以 以 以 以 以 以 以 以 以 以 以 。,"因 望 月 有 感 ，
"
357,modern2poem: 人 生 自 古 以 来 有 谁 能 够 长 生 不 死 ？,generated:人 生 古 有 谁 能 长 不?,"人 生 自 古 谁 无 死 ？
"
358,modern2poem: 常 使 骅 骝 好 马 的 生 气 凋 敝 失 丧 。,"generated:常 使 骝 好 马 生, 衰 丧 。","忍 使 骅 骝 气 凋 丧 。
"
359,modern2poem: 回 来 一 看 池 苑 的 地 方 依 旧 ， 太 液 池 边 芙 蓉 仍 在 未 央 宫 中 垂 柳 未 改 。,"generated:回 一 看 池 苑 地 方, 太 池 边 芙 仍 在 未 央 宫 垂 柳 未 改 。","归 来 池 苑 皆 依 旧 ， 太 液 芙 蓉 未 央 柳 。
"
360,modern2poem: 云 梦 大 泽 水 气 蒸 腾 白 白 茫 茫 ，,generated:云 梦 大 泽 水 蒸 白 白 茫 。,"气 蒸 云 梦 泽 ，
"
361,modern2poem: 走 出 齐 鲁 ， 依 然 可 见 那 青 青 的 峰 顶 。,"generated:走 鲁, 依 然 见 那 青 。","齐 鲁 青 未 了 。
"
362,modern2poem: 足 可 以 把 身 心 和 耳 目 荡 涤 。,generated:足 可 以 以 以 其 心 耳 。,"自 足 荡 心 耳 。
"
363,modern2poem: 想 带 着 一 瓢 酒 去 看 你 ，,generated:想 带 一 酒 去 看 你,"欲 持 一 瓢 酒 ，
"
364,modern2poem: 千 里 迢 迢 可 否 共 赏 醉 人 婵 娟 ？ 微 风 吹 拂 着 清 香 四 溢 的 兰 杜 。,generated:千 里 远 可 共 醉 人 �� 娟? 微 风 吹 清 香 。,"千 里 共 如 何 ， 微 风 吹 兰 杜 。
"
365,modern2poem: 你 从 哪 里 得 来 这 拓 本 的 底 稿 ？ 丝 毫 都 很 完 备 一 点 也 无 差 错 。,generated:何 从 何 从 何 拓 本 底? 丝 毫 既 无 差 。,"公 从 何 处 得 纸 本 ， 毫 发 尽 备 无 差 讹 。
"
366,modern2poem: 都 是 为 了 和 猃 狁 打 仗 。,generated:都 为 和 猃 为 。,"猃 狁 之 故 。
"
367,modern2poem: 虢 国 夫 人 受 到 皇 上 的 宠 恩 ，,generated:虢 国 夫 人 受 皇 的 宠 恩 。,"虢 国 夫 人 承 主 恩 ，
"
368,modern2poem: 玄 宗 返 回 长 安 杨 贵 妃 早 已 死 ，,"generated:玄宗 返 长 安 杨 贵 妃 早 已,","玄 宗 回 马 杨 妃 死 ，
"
369,modern2poem: 春 风 吹 开 桃 李 花 物 是 人 非 不 胜 悲 ，,generated:春 风 开 桃 李 花 是 人 非 不 悲 。,"春 风 桃 李 花 开 日 ，
"
370,modern2poem: 边 疆 无 数 士 兵 流 血 形 成 了 海 水 ，,"generated:边 疆 无 士 兵 流 血,","边 庭 流 血 成 海 水 ，
"
371,modern2poem: 敬 告 大 家 我 要 归 隐 云 山 。,generated:敬 大 我 归 云 山 。,"敢 告 云 山 从 此 始 。
"
372,modern2poem: 贾 谊 被 贬 在 此 地 居 住 三 年 ， 可 悲 遭 遇 千 万 代 令 人 伤 情 。,generated:贾 谊 在 此 居 三 年 可 悲 受 千 万 代 令 人 伤 情 。,"三 年 谪 宦 此 栖 迟 ， 万 古 惟 留 楚 客 悲 。
"
373,modern2poem: 千 里 飞 蓬 也 飘 出 汉 塞 ，,"generated:千里 飞 蓬,","征 蓬 出 汉 塞 ，
"
374,modern2poem: 竹 子 抓 住 青 山 一 点 也 不 放 松 ， 它 的 根 牢 牢 地 扎 在 岩 石 缝 中 。,generated:竹 住 青 一 根 牢 在 岩 石 缝 。,"咬 定 青 山 不 放 松 ， 立 根 原 在 破 岩 中 。
"
375,modern2poem: 灾 祸 容 易 身 边 降 。,generated:灾 祸 容 易 身 边 降 。,"祸 亦 易 来 。
"
376,modern2poem: 什 么 时 候 能 够 再 举 杯 共 饮 ， 昨 天 夜 里 我 们 还 在 月 色 中 同 行 。,"generated:时 时 能 再 举 杯, 昨 夜 我, 月 同 行 。","几 时 杯 重 把 ， 昨 夜 月 同 行 。
"
377,modern2poem: 欲 走 还 留 之 间 ， 各 自 畅 饮 悲 欢 。,"generated:欲 走 留, 各 饮 悲 。","请 君 试 问 东 流 水 ， 别 意 与 之 谁 短 长 。
"
378,modern2poem: 癸 卯 年 ， 西 原 贼 人 攻 入 道 州 城 ， 焚 烧 杀 戮 掠 夺 ， 几 乎 扫 光 全 城 才 走 。,"generated:癸卯 年 西 原 贼 人 攻 州 城, 焚, 几, 光 全 。","癸 卯 岁 ， 西 原 贼 入 道 州 ， 焚 烧 杀 掠 ， 几 尽 而 去 。
"
379,modern2poem: 隔 水 询 问 那 樵 夫 可 否 方 便 ？,generated:隔水 问 那 樵 夫 可 否 方?,"隔 水 问 樵 夫 。
"
380,modern2poem: 天 空 黑 暗 ， 大 风 卷 着 江 湖 上 的 雨 ， 四 周 的 山 上 哗 哗 大 雨 像 巨 浪 翻 滚 之 声 。,generated:天 空 大 风 卷 江 湖 上 大 雨 像 巨 浪 翻 声 。,"风 卷 江 湖 雨 暗 村 ， 四 山 声 作 海 涛 翻 。
"
381,modern2poem: 生 时 应 当 做 人 中 豪 杰 ，,generated:生 当 作 人 豪 杰 。,"生 当 作 人 杰 ，
"
382,modern2poem: 洲 上 的 白 沙 和 月 色 融 合 在 一 起 看 不 分 明 。,generated:洲 白 沙 月 色 融 在 一 看 不 分 明 。,"汀 上 白 沙 看 不 见 。
"
383,modern2poem: 我 给 你 们 唱 一 首 歌 ， 请 你 们 为 我 倾 耳 细 听 。,generated:一首歌 请 你 为 我 倾 细 听,"与 君 歌 一 曲 ， 请 君 为 我 倾 耳 听 。
"
384,modern2poem: 大 雪 纷 纷 满 天 飞 。,generated:大雪 纷 纷 天 飞 。,"雨 雪 霏 霏 。
"
385,modern2poem: 临 颍 美 人 李 十 二 娘 ， 在 白 帝 城 表 演 ， 她 和 此 曲 起 舞 ， 精 妙 无 比 神 采 飞 扬 。,"generated:临 颍 美 人 李 十 二 娘, 在 白 帝 城 表, 其 作, 精 妙 无 神 采 扬 。","临 颍 美 人 在 白 帝 ， 妙 舞 此 曲 神 扬 扬 。
"
386,modern2poem: 千 里 飞 蓬 也 飘 出 汉 塞 ， 北 归 大 雁 正 翱 翔 云 天 。,"generated:千 里 飞 蓬 也 飘 汉, 北 归 大 雁 正 翱 云 天 。","征 蓬 出 汉 塞 ， 归 雁 入 胡 天 。
"
387,modern2poem: 宦 官 骑 马 飞 驰 不 敢 扬 起 灰 尘 ， 御 厨 络 绎 不 绝 送 来 海 味 山 珍 。,"generated:宦官 骑 飞 不 扬 灰 尘, 御 煮 不 绝 送 海 味 山 珍 。","黄 门 飞 鞚 不 动 尘 ， 御 厨 络 绎 送 八 珍 。
"
388,modern2poem: 我 看 自 古 以 来 的 贤 达 之 人 ，,generated:我 看 古 以 贤 人 。,"吾 观 自 古 贤 达 人 ，
"
389,modern2poem: 从 绣 饰 华 美 的 帐 子 里 惊 醒 。,generated:光 从 绣 华 美 帐 。,"九 华 帐 里 梦 魂 惊 。
"
390,modern2poem: 关 在 这 里 的 人 多 ， 拥 挤 杂 乱 ， 到 处 散 发 着 腥 臊 汗 臭 ， 这 时 屋 子 里 都 是 人 气 ；,"generated:关 在 此 人 多 挤 乱, 到, 烟,, 在 屋 是 人 。","骈 肩 杂 遝 ， 腥 臊 汗 垢 ， 时 则 为 人 气 ；
"
391,modern2poem: 走 近 一 听 水 却 没 有 声 音 。,generated:近 一 听 水 但 无 声 音 。,"近 听 水 无 声 。
"
392,modern2poem: 夜 里 有 差 役 来 强 征 兵 。,generated:夜 有 差 来 强 征 兵 。,"有 吏 夜 捉 人 。
"
393,modern2poem: 但 是 位 高 孤 傲 必 定 多 招 烈 风 。,generated:但 是 位 孤 孤 必 定 多 招 烈 风 。,"冥 冥 孤 高 多 烈 风 。
"
394,modern2poem: 偶 然 在 林 间 遇 见 个 把 乡 村 父 老 ，,generated:偶然 在 林 遇 个 乡 村 父 老,"偶 然 值 林 叟 ，
"
395,modern2poem: 衡 阳 的 归 雁 会 为 我 捎 来 回 书 。,generated:衡阳 雁 会 为 我 携 书 。,"衡 阳 归 雁 几 封 书 。
"
396,modern2poem: 古 台 破 败 草 木 已 经 凋 落 ，,"generated:古 台 破 草 已,","古 台 摇 落 后 ，
"
397,modern2poem: 缀 饰 的 美 玉 悬 荡 在 我 眼 前 。,generated:美 玉 悬 在 我 眼 。,"尚 之 以 琼 华 乎 而 。
"
398,modern2poem: 热 泪 湿 双 袖 还 不 断 流 淌 。,generated:热 泪 湿 袖 不 流 。,"双 袖 龙 钟 泪 不 干 。
"
399,modern2poem: 溪 柴 烧 的 小 火 和 裹 在 身 上 的 毛 毡 都 很 暖 和 ，,"generated:溪 柴 烧 小 毛 薄,","溪 柴 火 软 蛮 毡 暖 ，
"
400,modern2poem: 任 凭 长 年 雨 打 日 晒 野 火 焚 烧 ， 仗 着 鬼 神 守 护 石 鼓 永 不 湮 没 。,"generated:任 年 雨 日 晒 野 火, 仗 鬼 守 石 鼓 永 不 湮 。","雨 淋 日 灸 野 火 燎 ， 鬼 物 守 护 烦 撝 呵 。
"
401,modern2poem: 所 以 来 与 你 决 裂 。,generated:以 与 与 决 。,"故 来 相 决 绝 。
"
402,modern2poem: 春 天 过 去 ， 可 是 依 旧 有 许 多 花 草 争 奇 斗 艳 ， 人 走 近 ， 可 是 鸟 却 依 然 没 有 被 惊 动 。,"generated:春 天 去, 是 依 旧 有 许 花 草 争 奇, 人 走, 是 鸟, 是 然 无 被 。","春 去 花 还 在 ， 人 来 鸟 不 惊 。
"
403,modern2poem: 你 北 方 的 住 处 像 春 天 般 遥 远 ； 我 在 南 陵 嫌 送 信 人 来 得 太 迟 。,generated:北方 住 如 春 天 远 我 在 南 陵 嫌 信 人 来 太 迟,"北 斗 兼 春 远 ， 南 陵 寓 使 迟 。
"
404,modern2poem: 为 你 取 名 叫 做 俨 ， 为 你 取 字 叫 求 思 。,"generated:以 作, 以 作 。","名 汝 曰 俨 ， 字 汝 求 思 。
"
405,modern2poem: 辽 东 少 妇 年 方 十 五 ，,"generated:辽 东 少 妇 年 方 十 五,","辽 东 小 妇 年 十 五 ，
"
406,modern2poem: 出 征 士 兵 弓 箭 各 自 佩 在 腰 。,generated:出 士 兵 弓 箭 各 佩 在 。,"行 人 弓 箭 各 在 腰 。
"
407,modern2poem: 伤 时 感 世 的 诗 人 至 今 未 回 还 。,generated:伤 时 感 世 人 至 未 归 。,"词 客 哀 时 且 未 还 。
"
408,modern2poem: 偶 与 他 谈 笑 聊 天 每 每 忘 了 还 家 。,generated:偶 与 他 谈 聊 天 每 每 忘 归 。,"谈 笑 无 还 期 。
"
409,modern2poem: 安 然 地 修 禅 抑 制 心 中 毒 龙 。,generated:安然 地 修 禅 抑 心 毒 龙 。,"安 禅 制 毒 龙 。
"
410,modern2poem: 我 的 书 信 不 知 何 时 你 能 收 到 ？ 只 恐 江 湖 险 恶 ， 秋 水 多 风 浪 。,"generated:书 信 何 何? 恐 河, 恶, 秋 水, 浪 。","鸿 雁 几 时 到 ， 江 湖 秋 水 多 。
"
